n,r,m
"(:临床常见问题 {name: ""肩痛""})",[:影像检查],"(:医学影像 {name: ""超声""})"
"(:康复管理 {name: ""运动管理""})",[:康复评估],"(:康复量表 {name: ""Richmond躁动镇静评分""})"
"(:康复管理 {name: ""运动管理""})",[:康复评估],"(:康复量表 {name: ""标准化5问题问卷（Standardized Five Questions，S5Q）""})"
"(:康复管理 {name: ""运动管理""})",[:康复评估],"(:康复量表 {name: ""改良Ashworth量表（modified Ashworth scale, MAS)""})"
"(:康复管理 {name: ""运动管理""})",[:康复评估],"(:康复量表 {name: ""徒手肌力测试（medical research council，MRC）""})"
"(:康复管理 {name: ""运动管理""})",[:康复评估],"(:康复量表 {name: ""关节活动测量""})"
"(:康复管理 {name: ""运动管理""})",[:康复评估],"(:康复量表 {name: ""DE Morton活动指数 (DE Morton mobility index, DEMMI)""})"
"(:康复管理 {name: ""运动管理""})",[:康复评估],"(:康复量表 {name: ""自觉疲劳程度量表(rating perceived of exertion, RPE)\u0002""})"
"(:康复管理 {name: ""运动管理""})",[:康复评估],"(:康复量表 {name: ""Brunnstrom运动功能恢复六阶段分级评定""})"
"(:康复管理 {name: ""运动管理""})",[:康复评估],"(:康复量表 {name: ""ASIA标准（American Spinal Injury Association，美国脊髓损伤协会标准）""})"
"(:康复管理 {name: ""呼吸管理""})",[:康复评估],"(:康复量表 {name: ""生活质量评定""})"
"(:康复管理 {name: ""呼吸管理""})",[:康复评估],"(:康复量表 {name: ""吞咽能力评定""})"
"(:康复管理 {name: ""呼吸管理""})",[:康复评估],"(:康复量表 {name: ""心肺运动负荷试验""})"
"(:康复管理 {name: ""吞咽管理""})",[:康复评估],"(:康复量表 {name: ""吞咽器官检查""})"
"(:康复管理 {name: ""吞咽管理""})",[:康复评估],"(:康复量表 {name: ""咽反射检查""})"
"(:康复管理 {name: ""肌痉挛""})",[:康复评估],"(:康复量表 {name: ""肢体痉挛程度（MAS量表）评估""})"
"(:康复管理 {name: ""肌痉挛""})",[:康复评估],"(:康复量表 {name: ""痉挛累及关节的主被动活动度（ROM）评估""})"
"(:康复管理 {name: ""肌痉挛""})",[:康复评估],"(:康复量表 {name: ""痉挛肢体疼痛程度（VAS）评估""})"
"(:康复管理 {name: ""肌痉挛""})",[:康复评估],"(:康复量表 {name: ""痉挛肢体功能状态评估（FMA）""})"
"(:康复管理 {name: ""关节僵直""})",[:康复评估],"(:康复量表 {name: ""关节的主被动活动度测量""})"
"(:康复管理 {name: ""关节僵直""})",[:康复评估],"(:康复量表 {name: ""疼痛程度VAS评估""})"
"(:康复管理 {name: ""关节僵直""})",[:康复评估],"(:康复量表 {name: ""日常生活能力评估""})"
"(:康复管理 {name: ""压疮""})",[:康复评估],"(:康复量表 {name: ""压疮国际分级法分级""})"
"(:康复管理 {name: ""吞咽管理""})",[:影像检查],"(:医学影像 {name: ""吞咽X线造影录像""})"
"(:康复管理 {name: ""吞咽管理""})",[:影像检查],"(:医学影像 {name: ""软管喉内镜吞咽检查（FEES）""})"
"(:康复管理 {name: ""呼吸管理""})",[:影像检查],"(:医学影像 {name: ""CT""})"
"(:康复管理 {name: ""呼吸管理""})",[:影像检查],"(:医学影像 {name: ""胸部X线""})"
"(:康复管理 {name: ""膀胱管理""})",[:影像检查],"(:医学影像 {name: ""膀胱尿道造影""})"
"(:康复管理 {name: ""肌痉挛""})",[:相关药物],"(:药物 {name: ""丹曲林""})"
"(:康复管理 {name: ""肌痉挛""})",[:相关药物],"(:药物 {name: ""丹曲林""})"
"(:康复管理 {name: ""肌痉挛""})",[:相关药物],"(:药物 {name: ""丹曲林""})"
"(:康复管理 {name: ""肌痉挛""})",[:相关药物],"(:药物 {name: ""荐巴氯芬（Baclofen）""})"
"(:康复管理 {name: ""肌痉挛""})",[:相关药物],"(:药物 {name: ""替扎尼定（Tizanidine）""})"
"(:康复管理 {name: ""呼吸管理""})",[:影像检查],"(:医学影像 {name: ""CT""})"
"(:康复管理 {name: ""呼吸管理""})",[:影像检查],"(:医学影像 {name: ""超声""})"
"(:康复管理 {name: ""呼吸管理""})",[:影像检查],"(:医学影像 {name: ""超声""})"
"(:康复管理 {name: ""肌痉挛""})",[:相关药物],"(:药物 {name: ""苯二氮卓类（Benzodiaze\u0002pines）""})"
"(:康复管理 {name: ""膀胱管理""})",[:影像检查],"(:医学影像 {name: ""尿路超声""})"
"(:康复管理 {name: ""膀胱管理""})",[:影像检查],"(:医学影像 {name: ""磁共振水成像""})"
"(:康复管理 {name: ""吞咽管理""})",[:相关治疗],"(:临床措施 {name: ""拔除气管套管，考虑经口进食""})"
"(:康复管理 {name: ""膀胱管理""})",[:相关治疗],"(:临床措施 {name: ""排尿日记记录""})"
"(:康复管理 {name: ""膀胱管理""})",[:相关治疗],"(:临床措施 {name: ""留置导尿管""})"
"(:康复管理 {name: ""膀胱管理""})",[:相关治疗],"(:临床措施 {name: ""间歇导尿协助膀胱排空""})"
"(:康复管理 {name: ""膀胱管理""})",[:相关治疗],"(:临床措施 {name: ""经耻骨上膀胱造瘘""})"
"(:康复管理 {name: ""肌痉挛""})",[:相关治疗],"(:临床措施 {name: ""肉毒毒素局部注射""})"
"(:康复管理 {name: ""肌痉挛""})",[:相关治疗],"(:临床措施 {name: ""肌腱延长术""})"
"(:康复管理 {name: ""肌痉挛""})",[:相关治疗],"(:临床措施 {name: ""肌腱转移术""})"
"(:康复管理 {name: ""肌痉挛""})",[:相关治疗],"(:临床措施 {name: ""肌腱切断术""})"
"(:康复管理 {name: ""皮肤管理""})",[:相关治疗],"(:临床措施 {name: ""保持皮肤通风""})"
"(:康复管理 {name: ""皮肤管理""})",[:相关治疗],"(:临床措施 {name: ""使用保护隔离产品防止皮肤受损""})"
"(:康复管理 {name: ""皮肤管理""})",[:相关治疗],"(:临床措施 {name: ""规范化皮肤清洁""})"
"(:康复管理 {name: ""皮肤管理""})",[:相关治疗],"(:临床措施 {name: ""适时更换污染的尿布，使用防回渗的尿布""})"
"(:康复管理 {name: ""皮肤管理""})",[:相关治疗],"(:临床措施 {name: ""患者及照顾者教育""})"
"(:康复管理 {name: ""压疮""})",[:相关治疗],"(:临床措施 {name: ""根据评定结果换药""})"
"(:康复管理 {name: ""运动管理""})",[:康复治疗],"(:临床措施 {name: ""良肢位摆放""})"
"(:康复管理 {name: ""运动管理""})",[:康复治疗],"(:临床措施 {name: ""床上被动体位转换""})"
"(:康复管理 {name: ""运动管理""})",[:康复治疗],"(:临床措施 {name: ""关节肌肉被动牵伸""})"
"(:康复管理 {name: ""运动管理""})",[:康复治疗],"(:临床措施 {name: ""被动四肢及躯干关节活动度维持""})"
"(:康复管理 {name: ""运动管理""})",[:康复治疗],"(:临床措施 {name: ""床上被动坐位""})"
"(:康复管理 {name: ""运动管理""})",[:康复治疗],"(:临床措施 {name: ""不同角度体位适应性训练""})"
"(:康复管理 {name: ""运动管理""})",[:康复治疗],"(:临床措施 {name: ""电动斜床站立""})"
"(:康复管理 {name: ""运动管理""})",[:康复治疗],"(:临床措施 {name: ""神经肌肉电刺激""})"
"(:康复管理 {name: ""运动管理""})",[:康复治疗],"(:临床措施 {name: ""肌肉骨关节康复管理""})"
"(:康复管理 {name: ""运动管理""})",[:康复治疗],"(:临床措施 {name: ""床上转移""})"
"(:康复管理 {name: ""运动管理""})",[:康复治疗],"(:临床措施 {name: ""床上被动或主动坐位适应性训练""})"
"(:康复管理 {name: ""运动管理""})",[:康复治疗],"(:临床措施 {name: ""床边坐位""})"
"(:康复管理 {name: ""运动管理""})",[:康复治疗],"(:临床措施 {name: ""床椅转移""})"
"(:康复管理 {name: ""运动管理""})",[:康复治疗],"(:临床措施 {name: ""ADL相关练习""})"
"(:康复管理 {name: ""运动管理""})",[:康复治疗],"(:临床措施 {name: ""运动控制及平衡能力训练""})"
"(:康复管理 {name: ""运动管理""})",[:康复治疗],"(:临床措施 {name: ""生活活动能力前期训练""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""2h翻身1次""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""良姿位置放""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""被动关节活动2—3次/天""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""神经肌肉电刺激""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""支具运用""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""Fowler体位（即抬高床头 30—50cm)""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""床边被动单车训练""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""气压治疗（排除深部静脉栓塞）""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""床上直立坐位20min/次，3次/天""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""被动床椅转移""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""被动/主动关节活动及肢体训练3次/天""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""被动/主动床边下肢单车训练""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""主动进行床椅转移""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""床边坐20min，3次/天""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""上下肢主动及抗阻训练""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""主动床边或坐位上下肢单车训练""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""1人辅助下站立""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""自主站立""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""步行（辅助）""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""日常生活活动训练""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""日常生活活动训练""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""日常生活活动训练""})"
"(:康复管理 {name: ""循环管理""})",[:康复治疗],"(:临床措施 {name: ""深部静脉血栓""})"
"(:康复管理 {name: ""呼吸管理""})",[:康复治疗],"(:临床措施 {name: ""体位训练""})"
"(:康复管理 {name: ""呼吸管理""})",[:康复治疗],"(:临床措施 {name: ""气道廓清技术""})"
"(:康复管理 {name: ""呼吸管理""})",[:康复治疗],"(:临床措施 {name: ""呼吸训练""})"
"(:康复管理 {name: ""呼吸管理""})",[:康复治疗],"(:临床措施 {name: ""咳嗽训练""})"
"(:康复管理 {name: ""呼吸管理""})",[:康复治疗],"(:临床措施 {name: ""运动训练""})"
"(:康复管理 {name: ""呼吸管理""})",[:康复治疗],"(:临床措施 {name: ""物理治疗""})"
"(:康复管理 {name: ""呼吸管理""})",[:康复治疗],"(:临床措施 {name: ""中医传统疗法""})"
"(:康复管理 {name: ""吞咽管理""})",[:康复治疗],"(:临床措施 {name: ""吞咽肌低频电刺激""})"
"(:康复管理 {name: ""吞咽管理""})",[:康复治疗],"(:临床措施 {name: ""口腔感觉运动训练""})"
"(:康复管理 {name: ""吞咽管理""})",[:康复治疗],"(:临床措施 {name: ""使用通气说话瓣膜""})"
"(:康复管理 {name: ""肌痉挛""})",[:康复治疗],"(:临床措施 {name: ""连续矫正石膏""})"
"(:康复管理 {name: ""肌痉挛""})",[:康复治疗],"(:临床措施 {name: ""静态可调节夹板""})"
"(:康复管理 {name: ""肌痉挛""})",[:康复治疗],"(:临床措施 {name: ""休息位手/腕部夹板""})"
"(:康复管理 {name: ""肌痉挛""})",[:康复治疗],"(:临床措施 {name: ""牵伸训练""})"
"(:康复管理 {name: ""肌痉挛""})",[:康复治疗],"(:临床措施 {name: ""关节活动度训练""})"
"(:康复管理 {name: ""肌痉挛""})",[:康复治疗],"(:临床措施 {name: ""抗痉挛体位""})"
"(:康复管理 {name: ""肌痉挛""})",[:康复治疗],"(:临床措施 {name: ""瘫痪肢体良姿位摆放""})"
"(:康复管理 {name: ""肌痉挛""})",[:康复治疗],"(:临床措施 {name: ""物理因子治疗""})"
"(:康复管理 {name: ""肌痉挛""})",[:康复治疗],"(:临床措施 {name: ""物理因子治疗""})"
"(:康复管理 {name: ""肌痉挛""})",[:康复治疗],"(:临床措施 {name: ""辅具治疗""})"
"(:康复管理 {name: ""关节僵直""})",[:康复治疗],"(:临床措施 {name: ""加强肢体被动活动""})"
"(:康复管理 {name: ""关节僵直""})",[:康复治疗],"(:临床措施 {name: ""僵直关节位置变换""})"
"(:康复管理 {name: ""关节僵直""})",[:康复治疗],"(:临床措施 {name: ""物理因子治疗""})"
"(:康复管理 {name: ""关节僵直""})",[:康复治疗],"(:临床措施 {name: ""物理因子治疗""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""谵妄""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""恐惧""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""抑郁""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""脑卒中后中枢性疼痛（central poststroke pain，CPSP）""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""疼痛""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""镇静""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""重型颅脑损伤""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""轻中型颅脑损伤""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""尿崩症""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:康复管理 {name: ""循环管理""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""脑积水""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""脑积水""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""低颅压综合征""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""颅内高压""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""颅内高压""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""癫痫""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:康复管理 {name: ""压疮""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""室上性心动过速""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""心房颤动""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""心房颤动""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""室性心动过速""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""心房颤动""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""室性心动过速""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""慢性心力衰竭""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:康复管理 {name: ""骨化性肌炎""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""重症肺炎""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""深部静脉血栓""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""获得性神经肌病""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""急性胃肠损伤Ⅰ级""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""急性胃肠损伤Ⅱ级""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""急性胃肠损伤Ⅲ级""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""急性胃肠损伤Ⅳ级""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""严重腹胀""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""营养不良""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""营养不良""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""骨质疏松""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:康复管理 {name: ""呼吸管理""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""肩关节半脱位""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""肩痛""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:康复管理 {name: ""肌痉挛""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""肩痛""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:康复管理 {name: ""关节僵直""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""复合性区域疼痛综合征（complex regional pain syndrome，CRPS）""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:康复管理 {name: ""膀胱管理""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""尿失禁""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:康复管理 {name: ""吞咽管理""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:临床常见问题 {name: ""尿潴留""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:康复管理 {name: ""皮肤管理""})"
"(:脑卒中康复 {name: ""脑卒中康复""})",[:包含],"(:康复管理 {name: ""运动管理""})"
